Date,Open,High,Low,Close,Volumn,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolumn
2020-09-18,37200,37450,,,,,36850,,,
2020-09-17,37950,38150,,,,,37150,,,
2020-09-16,38500,38500,,,,,37950,,,
2020-09-15,37400,38700,,,,,38500,,,
2020-09-14,37700,37750,,,,,37300,,,
2020-09-11,37550,37700,,,,,37350,,,
2020-09-10,37350,37900,,,,,37600,,,
2020-09-09,37700,37750,,,,,37050,,,
2020-09-08,36650,39300,,,,,38050,,,
2020-09-07,36750,37400,,,,,36700,,,
2020-09-04,37050,37700,,,,,37300,,,
2020-09-03,38050,38500,,,,,38100,,,
2020-09-02,38600,38650,,,,,38200,,,
2020-09-01,36850,38200,,,,,38100,,,
2020-08-31,36600,37700,,,,,36900,,,
2020-08-28,37000,37450,,,,,36650,,,
2020-08-27,37800,37800,,,,,37000,,,
2020-08-26,39250,39250,,,,,37900,,,
2020-08-25,39150,39150,,,,,39000,,,
2020-08-24,38800,39050,,,,,38900,,,
2020-08-21,39150,39400,,,,,38900,,,
2020-08-20,38600,40200,,,,,38850,,,
2020-08-19,39350,40250,,,,,38900,,,
2020-08-18,41700,41750,,,,,39300,,,
2020-08-14,44600,45200,,,,,41350,,,
2020-08-13,45050,45750,,,,,44100,,,
2020-08-12,44950,45950,,,,,44950,,,
2020-08-11,44300,45150,,,,,44800,,,
2020-08-10,44050,44900,,,,,44300,,,
2020-08-07,44650,44750,,,,,44300,,,
2020-08-06,46000,46050,,,,,44600,,,
2020-08-05,43950,46750,,,,,46500,,,
2020-08-04,43500,43700,,,,,43650,,,
2020-08-03,41900,43750,,,,,43500,,,
2020-07-31,41300,41950,,,,,41550,,,
2020-07-30,42550,42550,,,,,41550,,,
2020-07-29,41950,42550,,,,,42550,,,
2020-07-28,42950,43250,,,,,42200,,,
2020-07-27,41800,43150,,,,,42950,,,
2020-07-24,41900,42200,,,,,41600,,,
2020-07-23,42850,42900,,,,,42300,,,
2020-07-22,42500,43250,,,,,42900,,,
2020-07-21,41600,43000,,,,,42400,,,
2020-07-20,41150,41900,,,,,41200,,,
2020-07-17,42450,42900,,,,,42300,,,
2020-07-16,43250,43650,,,,,42350,,,
2020-07-15,44150,44400,,,,,43350,,,
2020-07-14,43950,44500,,,,,43650,,,
2020-07-13,45400,45450,,,,,44100,,,
2020-07-10,43700,45550,,,,,45300,,,
2020-07-09,44050,44600,,,,,43400,,,
2020-07-08,45400,45600,,,,,44050,,,
2020-07-07,43600,45950,,,,,45600,,,
2020-07-06,43700,43700,,,,,43150,,,
2020-07-03,43350,44000,,,,,43000,,,
2020-07-02,42000,43650,,,,,43250,,,
2020-07-01,43900,44200,,,,,42450,,,
2020-06-30,44300,44400,,,,,43800,,,
2020-06-29,43950,44450,,,,,43550,,,
2020-06-26,45100,45150,,,,,44350,,,
2020-06-25,44600,45700,,,,,44100,,,
2020-06-24,46000,47050,,,,,45000,,,
2020-06-23,45000,46350,,,,,45900,,,
2020-06-22,42900,44800,,,,,44550,,,
2020-06-19,43150,43550,,,,,43000,,,
2020-06-18,42100,43200,,,,,42650,,,
2020-06-17,42250,43600,,,,,42250,,,
2020-06-16,42650,43950,,,,,42500,,,
2020-06-15,40950,43600,,,,,41000,,,
2020-06-12,37500,40800,,,,,40200,,,
2020-06-11,39000,39200,,,,,39150,,,
2020-06-10,37250,39250,,,,,39000,,,
2020-06-09,37150,37700,,,,,37250,,,
2020-06-08,38050,38050,,,,,37150,,,
2020-06-05,38000,38300,,,,,37850,,,
2020-06-04,38050,38900,,,,,38000,,,
2020-06-03,39100,39150,,,,,38050,,,
2020-06-02,39000,39500,,,,,38800,,,
2020-06-01,36000,38750,,,,,38750,,,
2020-05-29,35900,36750,,,,,36000,,,
2020-05-28,36200,36300,,,,,35800,,,
2020-05-27,35900,36450,,,,,36400,,,
2020-05-26,36450,36500,,,,,36100,,,
2020-05-25,36000,36500,,,,,36400,,,
2020-05-22,35900,36350,,,,,35800,,,
2020-05-21,36500,36500,,,,,35850,,,
2020-05-20,36500,37050,,,,,36200,,,
2020-05-19,36500,36550,,,,,35400,,,
2020-05-18,36800,37700,,,,,36050,,,
2020-05-15,36100,37300,,,,,36000,,,
2020-05-14,34350,36200,,,,,35900,,,
2020-05-13,34850,35250,,,,,34500,,,
2020-05-12,34650,35200,,,,,35000,,,
2020-05-11,33500,34750,,,,,34550,,,
2020-05-08,35100,35800,,,,,34200,,,
2020-05-07,35000,35750,,,,,35200,,,
2020-05-06,33350,34950,,,,,34450,,,
2020-05-04,32400,34150,,,,,33000,,,
2020-04-29,31750,32900,,,,,32450,,,
2020-04-28,31750,32450,,,,,31800,,,
2020-04-27,31300,32050,,,,,31800,,,
2020-04-24,29900,31200,,,,,31150,,,
2020-04-23,29450,29700,,,,,29600,,,
2020-04-22,28400,29600,,,,,29500,,,
2020-04-21,29050,29050,,,,,28750,,,
2020-04-20,28700,29400,,,,,29100,,,
2020-04-17,29250,29650,,,,,29050,,,
2020-04-16,28750,29450,,,,,29200,,,
2020-04-14,29000,29700,,,,,29000,,,
2020-04-13,29050,29450,,,,,28800,,,
2020-04-10,29550,29550,,,,,29050,,,
2020-04-09,29750,29800,,,,,29550,,,
2020-04-08,29400,30050,,,,,29450,,,
2020-04-07,29900,30250,,,,,29200,,,
2020-04-06,28100,29800,,,,,29500,,,
2020-04-03,26950,28250,,,,,28050,,,
2020-04-02,26800,27350,,,,,26950,,,
2020-04-01,26850,27550,,,,,26950,,,
2020-03-31,26550,27300,,,,,26850,,,
2020-03-30,25300,26600,,,,,25850,,,
2020-03-27,26600,26700,,,,,25500,,,
2020-03-26,24800,25950,,,,,25450,,,
2020-03-25,23600,24750,,,,,24400,,,
2020-03-24,22300,23050,,,,,22700,,,
2020-03-23,22350,22850,,,,,21700,,,
2020-03-20,21800,24200,,,,,24200,,,
2020-03-19,25000,25300,,,,,22000,,,
2020-03-18,25500,26550,,,,,24600,,,
2020-03-17,24000,26400,,,,,25300,,,
2020-03-16,25500,26100,,,,,25300,,,
2020-03-13,24500,26200,,,,,24850,,,
2020-03-12,26550,27100,,,,,26400,,,
2020-03-11,28850,28850,,,,,27450,,,
2020-03-10,27500,28850,,,,,28550,,,
2020-03-09,28950,29100,,,,,28000,,,
2020-03-06,29250,29900,,,,,29250,,,
2020-03-05,28750,29950,,,,,29250,,,
2020-03-04,26950,28950,,,,,28750,,,
2020-03-03,26850,28150,,,,,26800,,,
2020-03-02,26550,27000,,,,,26350,,,
2020-02-28,26800,27200,,,,,26600,,,
2020-02-27,27800,28300,,,,,27600,,,
2020-02-26,28050,28350,,,,,27950,,,
2020-02-25,28000,28950,,,,,28650,,,
2020-02-24,29300,29500,,,,,28300,,,
2020-02-21,30800,31200,,,,,30000,,,
2020-02-20,31550,32750,,,,,31250,,,
2020-02-19,29300,31750,,,,,31500,,,
2020-02-18,29550,29550,,,,,29250,,,
2020-02-17,29700,30350,,,,,29700,,,
2020-02-14,29200,29900,,,,,29500,,,
2020-02-13,29850,29850,,,,,29400,,,
2020-02-12,29550,29750,,,,,29750,,,
2020-02-11,30050,30300,,,,,29300,,,
2020-02-10,30200,30200,,,,,29850,,,
2020-02-07,29700,31450,,,,,30050,,,
2020-02-06,31150,31350,,,,,29600,,,
2020-02-05,30800,31200,,,,,30650,,,
2020-02-04,30250,31100,,,,,30800,,,
2020-02-03,29100,30550,,,,,30300,,,
2020-01-31,31350,31550,,,,,30000,,,
2020-01-30,31900,32000,,,,,31550,,,
2020-01-29,31600,32250,,,,,31850,,,
2020-01-28,31950,32000,,,,,31450,,,
2020-01-23,33000,33000,,,,,32650,,,
2020-01-22,32200,32950,,,,,32750,,,
2020-01-21,32100,32950,,,,,32450,,,
2020-01-20,32300,33000,,,,,32050,,,
2020-01-17,31650,33000,,,,,32350,,,
2020-01-16,31750,32200,,,,,31600,,,
2020-01-15,29050,31800,,,,,31650,,,
2020-01-14,27250,29100,,,,,29050,,,
2020-01-13,27350,27600,,,,,27400,,,
2020-01-10,27650,27900,,,,,27200,,,
2020-01-09,27850,28100,,,,,27850,,,
2020-01-08,28250,28300,,,,,27700,,,
2020-01-07,28600,28900,,,,,28450,,,
2020-01-06,28550,28900,,,,,28650,,,
2020-01-03,29050,29050,,,,,28550,,,
2020-01-02,29200,29400,,,,,28900,,,
